2024-03-05 08:44:39, User3, edit file, success, Presentation.pptx
2024-02-18 12:22:14, User1, login, success, 
2024-03-02 20:57:59, User1, open file, success, Spreadsheet.xlsx
2024-02-14 20:40:22, User1, edit file, success, Document1.docx
2024-02-19 07:11:03, User2, logout, success, 
2024-02-06 21:26:17, User4, login, success, 
2024-02-08 14:05:20, User4, open file, success, Presentation.pptx
2024-02-27 15:57:53, User4, login, success, 
2024-02-15 20:00:32, User1, login, success, 
2024-02-22 20:33:10, User2, delete file, success, Document1.docx
2024-02-28 11:19:50, User4, password failure, failed, 
2024-02-09 03:44:36, User2, logout, success, 
2024-02-13 10:49:14, User4, logout, success, 
2024-02-16 06:07:38, User1, open file, success, Document1.docx
2024-02-08 12:50:13, User3, logout, success, 
2024-02-11 05:55:23, User4, open file, success, Presentation.pptx
2024-02-22 08:55:51, User3, open file, success, Document1.docx
2024-02-12 10:39:21, User1, open file, success, Document1.docx
2024-03-02 17:35:07, User4, logout, success, 
2024-02-08 22:59:36, User2, delete file, success, Document1.docx
2024-02-21 06:26:43, User3, delete file, success, Document1.docx
2024-02-07 16:20:33, User1, login, success, 
2024-02-07 15:41:34, User4, password failure, failed, 
2024-03-06 12:15:22, User3, open file, success, Presentation.pptx
2024-03-02 14:55:52, User3, edit file, success, Spreadsheet.xlsx
2024-03-02 01:39:48, User1, edit file, success, Document1.docx
2024-03-05 22:51:42, User4, password failure, failed, 
2024-02-09 14:40:04, User3, open file, success, Spreadsheet.xlsx
2024-02-09 16:18:35, User3, password failure, failed, 
2024-02-06 21:01:21, User4, open file, success, Document1.docx
2024-02-22 19:59:53, User2, login, success, 
2024-02-10 13:11:09, User1, password failure, failed, 
2024-03-02 16:48:29, User2, password failure, failed, 
2024-02-24 23:21:47, User1, password failure, failed, 
2024-02-20 13:49:57, User2, login, success, 
2024-02-12 18:46:16, User3, logout, success, 
2024-02-07 11:40:47, User4, login, success, 
2024-02-10 05:11:10, User4, login, success, 
2024-02-20 14:35:04, User4, logout, success, 
2024-03-05 18:19:28, User3, open file, success, Spreadsheet.xlsx
2024-02-28 03:22:11, User1, edit file, success, Report.pdf
2024-02-09 14:51:06, User3, login, success, 
2024-02-08 16:14:24, User1, logout, success, 
2024-02-17 17:31:49, User2, edit file, success, Spreadsheet.xlsx
2024-02-27 00:49:03, User2, open file, success, Presentation.pptx
2024-02-21 15:18:45, User4, open file, success, Report.pdf
2024-02-28 05:30:11, User1, login, success, 
2024-02-24 06:05:10, User4, password failure, failed, 
2024-02-19 22:54:47, User3, open file, success, Document1.docx
2024-03-06 01:42:45, User4, open file, success, Presentation.pptx
2024-03-03 17:10:42, User3, password failure, failed, 
2024-02-15 13:04:42, User3, edit file, success, Document1.docx
2024-02-22 20:08:37, User4, password failure, failed, 
2024-03-02 01:02:15, User2, login, success, 
2024-03-03 21:49:08, User2, open file, success, Report.pdf
2024-02-18 06:14:26, User2, password failure, failed, 
2024-02-11 10:09:50, User4, logout, success, 
2024-03-01 16:08:42, User2, login, success, 
2024-02-15 05:12:43, User1, logout, success, 
2024-03-03 14:48:04, User2, login, success, 
2024-02-06 13:50:12, User2, logout, success, 
2024-03-06 10:31:28, User2, delete file, success, Spreadsheet.xlsx
2024-03-05 18:55:29, User4, logout, success, 
2024-03-06 05:06:09, User1, delete file, success, Spreadsheet.xlsx
2024-02-18 23:40:47, User3, login, success, 
2024-02-12 20:47:57, User4, login, success, 
2024-02-21 08:11:40, User1, delete file, success, Presentation.pptx
2024-02-13 11:51:07, User3, delete file, success, Document1.docx
2024-02-28 05:19:37, User1, login, success, 
2024-03-02 21:49:31, User2, password failure, failed, 
2024-02-28 04:30:45, User2, logout, success, 
2024-02-09 10:59:32, User2, logout, success, 
2024-03-06 03:49:25, User2, edit file, success, Report.pdf
2024-03-03 13:03:45, User3, password failure, failed, 
2024-02-14 13:57:29, User4, logout, success, 
2024-02-11 02:45:21, User2, delete file, success, Spreadsheet.xlsx
2024-02-22 00:37:41, User3, edit file, success, Document1.docx
2024-03-02 09:45:49, User3, delete file, success, Report.pdf
2024-02-15 00:59:38, User3, delete file, success, Presentation.pptx
2024-02-05 22:50:59, User3, logout, success, 
2024-02-19 05:19:10, User2, password failure, failed, 
2024-02-11 16:21:39, User2, open file, success, Spreadsheet.xlsx
2024-02-14 10:46:32, User2, open file, success, Document1.docx
2024-02-27 11:17:06, User4, delete file, success, Report.pdf
2024-02-28 15:05:17, User4, open file, success, Document1.docx
2024-02-29 15:54:59, User3, edit file, success, Spreadsheet.xlsx
2024-02-23 11:00:15, User1, delete file, success, Report.pdf
2024-02-07 05:25:54, User3, edit file, success, Spreadsheet.xlsx
2024-02-13 17:57:11, User1, edit file, success, Presentation.pptx
2024-02-29 18:48:35, User2, open file, success, Presentation.pptx
2024-02-28 22:10:00, User1, logout, success, 
2024-03-02 01:11:10, User2, edit file, success, Presentation.pptx
2024-02-16 13:10:14, User1, password failure, failed, 
2024-02-16 02:23:29, User3, open file, success, Spreadsheet.xlsx
2024-02-27 10:50:16, User2, password failure, failed, 
2024-03-02 00:59:49, User4, login, success, 
2024-02-23 04:59:06, User3, logout, success, 
2024-03-02 20:04:47, User2, login, success, 
2024-02-22 07:13:39, User3, logout, success, 
2024-03-02 18:30:45, User2, login, success, 
2024-03-05 05:07:30, User2, login, success, 
2024-02-13 14:51:40, User4, login, success, 
2024-02-23 11:51:09, User3, open file, success, Spreadsheet.xlsx
2024-02-13 01:19:54, User2, login, success, 
2024-02-28 19:21:01, User2, edit file, success, Presentation.pptx
2024-02-05 15:53:47, User3, password failure, failed, 
2024-02-27 11:41:28, User1, edit file, success, Spreadsheet.xlsx
2024-02-20 07:00:02, User1, edit file, success, Presentation.pptx
2024-02-22 14:56:49, User1, password failure, failed, 
2024-02-08 13:11:48, User4, open file, success, Document1.docx
2024-02-09 18:42:02, User3, edit file, success, Presentation.pptx
2024-02-10 03:55:01, User2, delete file, success, Document1.docx
2024-02-28 02:33:08, User2, login, success, 
2024-02-21 23:12:37, User3, password failure, failed, 
2024-02-23 06:51:23, User2, edit file, success, Presentation.pptx
2024-02-21 08:38:48, User4, login, success, 
2024-02-28 22:55:02, User2, delete file, success, Report.pdf
2024-02-13 05:31:35, User1, login, success, 
2024-02-24 03:32:31, User3, password failure, failed, 
2024-03-05 07:52:12, User2, logout, success, 
2024-03-02 15:49:53, User3, edit file, success, Spreadsheet.xlsx
2024-02-08 16:39:17, User4, edit file, success, Document1.docx
2024-02-07 11:42:58, User4, edit file, success, Document1.docx
2024-02-06 10:17:23, User2, logout, success, 
2024-02-14 02:56:22, User4, logout, success, 
2024-03-01 15:02:11, User4, open file, success, Spreadsheet.xlsx
2024-02-08 14:39:19, User1, logout, success, 
2024-02-17 20:24:02, User4, login, success, 
2024-02-06 07:52:37, User1, login, success, 
2024-02-18 08:46:55, User4, edit file, success, Spreadsheet.xlsx
2024-03-04 19:32:03, User1, logout, success, 
2024-02-20 10:11:38, User1, edit file, success, Report.pdf
2024-02-09 04:25:33, User4, login, success, 
2024-02-18 03:47:42, User1, logout, success, 
2024-02-06 17:54:21, User4, delete file, success, Spreadsheet.xlsx
2024-02-07 22:09:27, User4, login, success, 
2024-02-26 01:29:57, User2, edit file, success, Document1.docx
2024-03-02 08:15:42, User1, edit file, success, Report.pdf
2024-02-15 05:13:27, User3, edit file, success, Report.pdf
2024-02-06 16:23:22, User2, password failure, failed, 
2024-03-01 19:49:43, User2, delete file, success, Report.pdf
2024-02-24 07:37:38, User4, password failure, failed, 
2024-02-26 01:36:54, User1, edit file, success, Spreadsheet.xlsx
2024-02-19 23:32:28, User2, open file, success, Presentation.pptx
2024-02-27 20:46:21, User1, open file, success, Presentation.pptx
2024-02-22 00:53:57, User3, login, success, 
2024-02-25 22:11:20, User1, edit file, success, Spreadsheet.xlsx
2024-02-12 20:45:31, User3, delete file, success, Document1.docx
2024-02-09 12:48:55, User2, login, success, 
2024-02-16 00:14:47, User1, edit file, success, Presentation.pptx
2024-02-22 10:22:57, User3, open file, success, Document1.docx
2024-03-01 06:55:56, User3, open file, success, Spreadsheet.xlsx
2024-03-01 09:32:24, User4, password failure, failed, 
2024-02-07 01:06:16, User1, login, success, 
2024-02-06 15:32:59, User2, logout, success, 
2024-02-11 05:23:52, User1, open file, success, Report.pdf
2024-02-28 22:01:09, User2, open file, success, Presentation.pptx
2024-02-24 22:11:21, User3, edit file, success, Presentation.pptx
2024-03-03 11:31:09, User1, delete file, success, Document1.docx
2024-02-09 23:32:53, User4, login, success, 
2024-02-21 02:48:17, User1, password failure, failed, 
2024-02-19 16:44:29, User1, open file, success, Presentation.pptx
2024-02-22 15:42:07, User3, edit file, success, Spreadsheet.xlsx
2024-02-10 21:42:52, User2, open file, success, Presentation.pptx
2024-02-20 21:11:44, User4, password failure, failed, 
2024-02-23 05:59:55, User1, delete file, success, Presentation.pptx
2024-02-10 20:50:20, User3, edit file, success, Document1.docx
2024-03-02 15:20:02, User1, login, success, 
2024-02-25 17:49:30, User2, delete file, success, Presentation.pptx
2024-02-21 09:20:46, User1, edit file, success, Spreadsheet.xlsx
2024-02-24 06:16:31, User1, edit file, success, Spreadsheet.xlsx
2024-02-26 10:01:14, User1, login, success, 
2024-02-28 09:16:31, User3, login, success, 
2024-02-11 04:18:49, User1, password failure, failed, 
2024-02-13 08:48:17, User3, logout, success, 
2024-03-03 04:57:20, User4, open file, success, Presentation.pptx
2024-02-07 11:16:34, User1, login, success, 
2024-02-26 19:13:59, User1, password failure, failed, 
2024-02-16 03:20:59, User1, logout, success, 
2024-02-25 12:06:01, User4, open file, success, Report.pdf
2024-02-20 23:36:15, User3, delete file, success, Presentation.pptx
2024-02-11 19:32:02, User2, delete file, success, Document1.docx
2024-02-09 02:23:04, User4, login, success, 
2024-02-17 04:25:37, User1, edit file, success, Presentation.pptx
2024-03-02 06:55:56, User1, delete file, success, Document1.docx
2024-02-13 13:37:45, User2, password failure, failed, 
2024-02-22 03:53:50, User3, edit file, success, Document1.docx
2024-02-17 13:34:39, User3, logout, success, 
2024-02-09 03:13:04, User4, open file, success, Document1.docx
2024-02-16 21:14:05, User1, logout, success, 
2024-02-16 15:10:36, User2, edit file, success, Presentation.pptx
2024-02-24 12:52:52, User3, password failure, failed, 
2024-02-06 10:27:44, User4, logout, success, 
2024-02-23 23:08:03, User2, logout, success, 
2024-02-17 13:35:18, User1, login, success, 
2024-02-23 12:01:38, User1, password failure, failed, 
2024-02-16 10:17:19, User2, edit file, success, Spreadsheet.xlsx
2024-02-08 05:24:41, User2, edit file, success, Document1.docx
2024-02-07 11:58:20, User4, delete file, success, Spreadsheet.xlsx
2024-02-19 03:50:26, User4, edit file, success, Document1.docx
2024-02-08 18:55:00, User2, edit file, success, Presentation.pptx
2024-02-25 05:55:43, User4, login, success, 
2024-03-06 01:26:19, User4, password failure, failed, 
2024-02-10 05:30:28, User3, open file, success, Report.pdf
2024-02-08 20:40:54, User2, login, success, 
2024-02-26 08:33:34, User1, login, success, 
2024-02-26 17:24:11, User1, open file, success, Report.pdf
2024-02-29 10:20:14, User1, password failure, failed, 
2024-02-20 23:15:44, User1, password failure, failed, 
2024-03-04 11:40:02, User2, edit file, success, Report.pdf
2024-02-26 14:32:40, User3, delete file, success, Document1.docx
2024-02-26 09:06:35, User3, login, success, 
2024-02-25 12:01:23, User1, logout, success, 
2024-02-12 13:56:40, User1, password failure, failed, 
2024-02-24 02:22:58, User2, edit file, success, Document1.docx
2024-02-13 06:04:56, User3, login, success, 
2024-02-24 06:12:11, User2, edit file, success, Report.pdf
2024-02-28 23:41:59, User3, delete file, success, Report.pdf
2024-03-01 18:44:05, User3, edit file, success, Spreadsheet.xlsx
2024-02-07 20:17:40, User4, delete file, success, Report.pdf
2024-02-29 04:08:25, User3, logout, success, 
2024-02-29 08:46:16, User2, password failure, failed, 
2024-02-09 17:30:08, User3, open file, success, Document1.docx
2024-02-08 20:41:16, User3, login, success, 
2024-02-16 14:18:10, User2, login, success, 
2024-03-03 12:09:02, User1, password failure, failed, 
2024-02-16 10:52:21, User2, edit file, success, Document1.docx
2024-03-05 08:09:31, User2, logout, success, 
2024-02-06 09:57:50, User4, login, success, 
2024-02-13 04:14:16, User1, login, success, 
2024-02-24 20:28:56, User1, password failure, failed, 
2024-02-11 14:34:22, User4, logout, success, 
2024-02-13 05:09:17, User3, delete file, success, Document1.docx
2024-03-04 13:39:57, User3, edit file, success, Presentation.pptx
2024-03-02 13:06:23, User1, password failure, failed, 
2024-02-07 01:08:51, User2, login, success, 
2024-02-25 13:35:00, User4, password failure, failed, 
2024-02-28 23:07:03, User3, open file, success, Spreadsheet.xlsx
2024-02-07 18:53:21, User3, delete file, success, Spreadsheet.xlsx
2024-02-14 23:26:57, User4, password failure, failed, 
2024-03-04 14:27:42, User4, edit file, success, Document1.docx
2024-02-21 04:59:56, User2, password failure, failed, 
2024-02-10 06:11:25, User3, login, success, 
2024-02-11 14:40:17, User4, delete file, success, Report.pdf
2024-02-23 11:55:52, User3, logout, success, 
2024-02-15 11:55:02, User2, login, success, 
2024-03-04 18:44:17, User4, login, success, 
2024-03-05 20:10:06, User2, edit file, success, Document1.docx
2024-02-15 05:05:44, User4, login, success, 
2024-02-19 22:41:31, User3, open file, success, Spreadsheet.xlsx
2024-02-20 17:01:31, User1, login, success, 
2024-02-08 04:45:50, User3, logout, success, 
2024-02-24 13:58:29, User2, edit file, success, Spreadsheet.xlsx
2024-02-15 12:38:32, User4, password failure, failed, 
2024-02-21 23:36:04, User1, login, success, 
2024-02-28 16:21:44, User2, logout, success, 
2024-02-12 15:19:25, User1, login, success, 
2024-02-26 21:54:42, User3, edit file, success, Presentation.pptx
2024-02-29 01:59:50, User2, logout, success, 
2024-02-16 18:51:49, User4, login, success, 
2024-03-05 15:15:01, User2, edit file, success, Presentation.pptx
2024-02-13 03:49:44, User4, edit file, success, Spreadsheet.xlsx
2024-02-06 18:25:29, User1, open file, success, Report.pdf
2024-02-29 06:04:08, User2, open file, success, Presentation.pptx
2024-02-25 03:19:05, User3, logout, success, 
2024-03-04 11:00:59, User3, logout, success, 
2024-02-20 03:01:02, User4, logout, success, 
2024-03-04 10:54:13, User2, open file, success, Presentation.pptx
2024-02-18 04:29:13, User1, open file, success, Document1.docx
2024-03-06 02:10:31, User4, logout, success, 
2024-03-05 05:06:18, User1, logout, success, 
2024-02-20 23:14:18, User4, password failure, failed, 
2024-02-16 13:03:01, User3, delete file, success, Report.pdf
2024-03-05 16:41:49, User3, edit file, success, Document1.docx
2024-02-29 20:51:34, User2, edit file, success, Spreadsheet.xlsx
2024-02-08 12:27:18, User2, logout, success, 
2024-02-14 23:39:08, User4, logout, success, 
2024-02-12 00:50:24, User2, delete file, success, Document1.docx
2024-02-25 17:23:37, User2, open file, success, Document1.docx
2024-02-29 01:25:33, User3, logout, success, 
2024-02-28 04:53:59, User3, password failure, failed, 
2024-02-23 15:35:28, User4, edit file, success, Spreadsheet.xlsx
2024-02-17 17:40:36, User4, delete file, success, Presentation.pptx
2024-02-26 06:25:39, User1, logout, success, 
2024-02-27 07:08:34, User1, delete file, success, Spreadsheet.xlsx
2024-03-02 10:22:20, User4, open file, success, Report.pdf
2024-02-24 10:42:16, User4, logout, success, 
2024-02-29 13:12:18, User2, logout, success, 
2024-02-13 04:40:30, User2, delete file, success, Spreadsheet.xlsx
2024-02-20 11:21:37, User4, open file, success, Report.pdf
2024-02-17 12:25:55, User3, edit file, success, Document1.docx
2024-02-27 18:48:16, User1, logout, success, 
2024-02-10 18:22:36, User4, password failure, failed, 
2024-02-12 18:34:27, User4, logout, success, 
2024-02-22 06:39:47, User1, edit file, success, Presentation.pptx
2024-02-19 14:01:19, User2, logout, success, 
2024-02-19 09:53:23, User4, logout, success, 
2024-02-18 07:44:14, User4, logout, success, 
2024-02-11 04:26:33, User3, logout, success, 
2024-02-07 18:27:21, User4, password failure, failed, 
2024-02-28 00:35:54, User4, login, success, 
2024-02-28 23:13:32, User3, login, success, 
2024-03-01 19:34:42, User1, logout, success, 
2024-02-20 18:45:40, User4, open file, success, Document1.docx
2024-02-12 04:58:43, User3, delete file, success, Presentation.pptx
2024-02-24 00:08:12, User3, delete file, success, Spreadsheet.xlsx
2024-02-14 21:13:28, User2, password failure, failed, 
2024-02-07 06:54:36, User4, password failure, failed, 
2024-02-16 21:23:18, User2, logout, success, 
2024-03-04 05:43:06, User1, delete file, success, Spreadsheet.xlsx
2024-02-25 07:23:41, User2, logout, success, 
2024-03-01 23:50:45, User2, delete file, success, Report.pdf
2024-02-28 05:58:02, User1, delete file, success, Report.pdf
2024-02-10 06:47:23, User1, login, success, 
2024-03-01 13:30:14, User3, logout, success, 
2024-02-14 15:31:18, User4, open file, success, Report.pdf
2024-02-17 14:27:21, User1, delete file, success, Report.pdf
2024-02-27 11:09:01, User3, logout, success, 
2024-02-06 08:04:05, User4, open file, success, Document1.docx
2024-02-11 18:02:05, User1, login, success, 
2024-02-18 01:44:46, User3, delete file, success, Presentation.pptx
2024-02-21 00:37:07, User3, delete file, success, Spreadsheet.xlsx
2024-02-07 11:23:49, User1, login, success, 
2024-02-14 05:01:15, User4, login, success, 
2024-02-18 20:35:50, User1, delete file, success, Spreadsheet.xlsx
2024-02-17 05:40:10, User1, edit file, success, Presentation.pptx
2024-02-14 23:58:14, User4, login, success, 
2024-02-06 23:47:03, User4, delete file, success, Report.pdf
2024-02-08 18:29:48, User4, delete file, success, Spreadsheet.xlsx
2024-02-19 09:04:28, User2, edit file, success, Spreadsheet.xlsx
2024-02-25 00:56:34, User1, password failure, failed, 
2024-02-27 13:03:16, User1, password failure, failed, 
2024-02-10 06:16:47, User1, delete file, success, Presentation.pptx
2024-02-23 09:07:45, User1, open file, success, Presentation.pptx
2024-02-26 19:02:22, User1, password failure, failed, 
2024-02-14 17:30:53, User2, open file, success, Report.pdf
2024-02-20 16:21:47, User4, logout, success, 
2024-02-28 11:54:29, User4, edit file, success, Spreadsheet.xlsx
2024-02-09 04:46:32, User3, edit file, success, Spreadsheet.xlsx
2024-02-23 15:18:46, User2, open file, success, Spreadsheet.xlsx
2024-02-08 04:30:23, User1, password failure, failed, 
2024-03-01 06:59:20, User2, delete file, success, Presentation.pptx
2024-02-29 02:04:03, User1, open file, success, Spreadsheet.xlsx
2024-02-07 17:06:04, User4, login, success, 
2024-02-25 06:23:53, User2, edit file, success, Report.pdf
2024-02-20 12:41:37, User3, open file, success, Document1.docx
2024-03-01 21:32:16, User4, open file, success, Report.pdf
2024-02-21 14:54:28, User1, delete file, success, Presentation.pptx
2024-02-10 21:08:16, User4, logout, success, 
2024-02-17 17:42:40, User3, password failure, failed, 
2024-02-11 19:44:45, User4, open file, success, Document1.docx
2024-02-18 18:53:56, User2, edit file, success, Presentation.pptx
2024-02-16 10:27:08, User4, password failure, failed, 
2024-02-09 23:38:52, User2, logout, success, 
2024-02-18 00:49:00, User4, delete file, success, Report.pdf
2024-03-05 00:57:01, User3, logout, success, 
2024-02-12 14:11:54, User4, password failure, failed, 
2024-02-10 11:26:18, User3, password failure, failed, 
2024-02-22 07:27:25, User4, open file, success, Spreadsheet.xlsx
2024-02-14 11:07:35, User1, edit file, success, Document1.docx
2024-03-01 05:23:53, User1, open file, success, Spreadsheet.xlsx
2024-02-17 18:08:37, User4, edit file, success, Spreadsheet.xlsx
2024-02-08 03:35:19, User2, open file, success, Spreadsheet.xlsx
2024-02-12 15:22:58, User1, delete file, success, Document1.docx
2024-03-03 08:07:25, User3, edit file, success, Presentation.pptx
2024-02-07 10:31:48, User2, logout, success, 
2024-02-12 03:12:59, User1, login, success, 
2024-03-01 04:16:47, User1, edit file, success, Spreadsheet.xlsx
2024-02-21 13:53:29, User2, login, success, 
2024-02-23 00:51:47, User1, delete file, success, Spreadsheet.xlsx
2024-03-06 07:41:47, User1, logout, success, 
2024-02-15 19:33:56, User1, delete file, success, Document1.docx
2024-02-17 17:26:03, User4, password failure, failed, 
2024-02-28 03:39:53, User1, open file, success, Spreadsheet.xlsx
2024-02-21 11:57:47, User4, edit file, success, Report.pdf
2024-02-09 11:59:40, User4, logout, success, 
2024-02-18 03:00:21, User3, login, success, 
2024-02-18 12:58:30, User3, edit file, success, Report.pdf
2024-02-22 06:36:06, User1, open file, success, Report.pdf
2024-02-25 23:20:33, User1, login, success, 
2024-02-10 22:12:29, User2, login, success, 
2024-02-16 14:58:15, User4, password failure, failed, 
2024-02-05 18:49:49, User3, open file, success, Presentation.pptx
2024-02-29 00:38:02, User2, login, success, 
2024-02-07 14:04:55, User2, logout, success, 
2024-02-19 11:53:52, User4, login, success, 
2024-02-10 08:23:23, User4, open file, success, Presentation.pptx
2024-03-04 09:57:46, User1, delete file, success, Document1.docx
2024-03-02 11:04:17, User3, password failure, failed, 
2024-02-08 10:13:55, User4, edit file, success, Report.pdf
2024-03-02 20:35:36, User2, edit file, success, Presentation.pptx
2024-03-01 02:50:36, User1, open file, success, Spreadsheet.xlsx
2024-02-07 13:36:19, User4, delete file, success, Spreadsheet.xlsx
2024-02-17 17:46:10, User1, open file, success, Spreadsheet.xlsx
2024-02-19 07:16:37, User2, logout, success, 
2024-02-20 22:11:43, User3, open file, success, Presentation.pptx
2024-03-02 21:09:34, User3, edit file, success, Spreadsheet.xlsx
2024-02-11 23:23:29, User2, password failure, failed, 
2024-02-16 15:25:46, User3, login, success, 
2024-02-25 01:06:12, User1, edit file, success, Presentation.pptx
